#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1	       -0.454861	       -0.454861	               0
               2	       -0.461318	        -0.45809	      0.00228311
               3	       -0.462514	       -0.459564	      0.00194074
               4	       -0.462603	       -0.460324	      0.00159735
               5	       -0.465488	       -0.461357	      0.00157681
               6	       -0.464252	       -0.461839	      0.00138587
               7	       -0.473631	       -0.463524	      0.00196046
               8	       -0.466007	       -0.463834	      0.00173981
               9	       -0.457882	       -0.463173	      0.00166748
              10	       -0.464517	       -0.463307	      0.00150614
              11	       -0.467633	       -0.463701	      0.00141962
              12	       -0.456441	       -0.463096	      0.00142441
              13	       -0.458859	        -0.46277	       0.0013516
              14	       -0.463228	       -0.462802	      0.00125545
              15	       -0.462766	         -0.4628	      0.00117176
              16	       -0.459428	       -0.462589	      0.00111732
              17	       -0.457164	        -0.46227	      0.00109622
              18	       -0.462731	       -0.462296	      0.00103562
              19	       -0.468855	       -0.462641	      0.00103706
              20	       -0.471131	       -0.463065	      0.00106857
              21	       -0.460174	       -0.462928	      0.00102651
              22	       -0.463826	       -0.462969	     0.000980665
              23	       -0.456588	       -0.462691	     0.000976479
              24	       -0.458938	       -0.462535	     0.000948234
              25	       -0.462778	       -0.462545	     0.000910355
              26	       -0.470153	       -0.462837	     0.000921173
              27	       -0.456967	        -0.46262	     0.000912349
              28	       -0.466711	       -0.462766	      0.00089139
              29	       -0.460054	       -0.462672	     0.000865545
              30	       -0.448901	       -0.462213	     0.000950663
              31	       -0.463874	       -0.462267	     0.000921505
              32	       -0.455658	        -0.46206	     0.000915562
              33	       -0.453626	       -0.461805	     0.000922806
              34	       -0.452138	        -0.46152	     0.000938438
              35	       -0.453231	       -0.461284	     0.000941036
              36	       -0.469628	       -0.461515	     0.000943011
              37	       -0.454594	       -0.461328	     0.000935892
              38	        -0.46535	       -0.461434	     0.000917226
              39	       -0.458518	       -0.461359	      0.00089675
              40	       -0.462822	       -0.461396	     0.000875076
              41	       -0.458277	        -0.46132	     0.000857033
              42	       -0.466763	       -0.461449	      0.00084637
              43	       -0.460109	       -0.461418	     0.000827261
              44	       -0.463647	       -0.461469	     0.000810009
              45	       -0.467339	       -0.461599	     0.000802445
              46	       -0.456512	       -0.461489	     0.000792585
