#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1	           -1.02	           -1.02	               0
               2	           -1.02	           -1.02	               0
               3	           -1.02	           -1.02	               0
               4	           -1.02	           -1.02	               0
               5	           -1.02	           -1.02	               0
               6	           -1.02	           -1.02	     6.08337e-09
               7	           -1.02	           -1.02	     5.63211e-09
               8	           -1.02	           -1.02	     5.26836e-09
               9	           -1.02	           -1.02	     4.96705e-09
              10	           -1.02	           -1.02	      8.1617e-09
              11	           -1.02	           -1.02	     7.78188e-09
              12	           -1.02	           -1.02	     7.45058e-09
              13	           -1.02	           -1.02	     9.24131e-09
              14	           -1.02	           -1.02	     8.90515e-09
              15	           -1.02	           -1.02	     8.60319e-09
              16	           -1.02	           -1.02	        8.33e-09
              17	           -1.02	           -1.02	     8.08129e-09
              18	           -1.02	           -1.02	     7.02447e-09
              19	           -1.02	           -1.02	     6.83712e-09
              20	           -1.02	           -1.02	       6.664e-09
              21	           -1.02	           -1.02	     5.63211e-09
              22	           -1.02	           -1.02	     7.10385e-09
              23	           -1.02	           -1.02	      6.9477e-09
              24	           -1.02	           -1.02	     6.80142e-09
              25	           -1.02	           -1.02	     5.96046e-09
              26	           -1.02	           -1.02	     5.84472e-09
              27	           -1.02	           -1.02	     5.73546e-09
              28	           -1.02	           -1.02	     5.63211e-09
              29	           -1.02	           -1.02	     5.53415e-09
              30	           -1.02	           -1.02	     5.44113e-09
              31	           -1.02	           -1.02	     5.35266e-09
              32	           -1.02	           -1.02	     5.26836e-09
              33	           -1.02	           -1.02	     5.18792e-09
              34	           -1.02	           -1.02	      4.4263e-09
              35	           -1.02	           -1.02	     4.36261e-09
              36	           -1.02	           -1.02	     2.48353e-09
              37	           -1.02	           -1.02	     3.46445e-09
              38	           -1.02	           -1.02	     3.41856e-09
              39	           -1.02	           -1.02	               0
              40	           -1.02	           -1.02	               0
              41	           -1.02	           -1.02	     2.32717e-09
              42	           -1.02	           -1.02	      2.2993e-09
              43	           -1.02	           -1.02	     2.27241e-09
              44	           -1.02	           -1.02	     2.24643e-09
              45	           -1.02	           -1.02	     2.22133e-09
              46	           -1.02	           -1.02	     3.10711e-09
              47	           -1.02	           -1.02	     3.07387e-09
              48	           -1.02	           -1.02	     3.04169e-09
