#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1	        0.889324	        0.889324	               0
               2	        0.887052	        0.888188	     0.000803273
               3	        0.931444	        0.902607	        0.011785
               4	        0.924572	        0.908098	       0.0100369
               5	        0.945184	        0.915515	       0.0104156
               6	        0.953008	        0.921764	       0.0103864
               7	        0.905476	        0.919437	      0.00915952
               8	        0.974564	        0.926328	        0.010285
               9	         0.88942	        0.922227	       0.0099262
              10	         0.89898	        0.919902	      0.00920178
              11	        0.936348	        0.921397	      0.00848584
              12	        0.795812	        0.910932	       0.0126849
              13	        0.969476	        0.915435	        0.012483
              14	        0.932308	        0.916641	       0.0116494
              15	        0.914608	        0.916505	       0.0108735
              16	        0.553156	        0.893796	       0.0242363
              17	        0.927668	        0.895788	       0.0228924
              18	        0.924144	        0.897364	       0.0216747
              19	          0.9297	        0.899065	       0.0206006
              20	        0.924724	        0.900348	       0.0196105
              21	        0.864228	        0.898628	        0.018752
              22	        0.933696	        0.900222	       0.0179672
              23	         0.94118	        0.902003	       0.0172741
              24	         0.95828	        0.904348	       0.0167127
              25	        0.952608	        0.906278	       0.0161553
              26	        0.934512	        0.907364	       0.0155704
              27	        0.918412	        0.907773	       0.0149991
              28	        0.961448	         0.90969	       0.0145854
              29	        0.934596	        0.910549	       0.0141077
              30	        0.796688	        0.906754	       0.0141388
              31	        0.952092	        0.908216	       0.0137581
              32	        0.941492	        0.909256	       0.0133674
              33	        0.945344	         0.91035	        0.013007
              34	        0.857084	        0.908783	       0.0127184
              35	        0.936596	        0.909578	       0.0123798
              36	        0.647284	        0.902292	       0.0140169
              37	        0.924688	        0.902897	       0.0136512
              38	        0.856344	        0.901672	       0.0133468
              39	        0.896884	        0.901549	       0.0130051
              40	        0.910932	        0.901784	       0.0126821
              41	        0.910724	        0.902002	       0.0123747
              42	         0.95596	        0.903287	       0.0121465
              43	        0.977188	        0.905005	        0.011985
              44	        0.852648	        0.903815	       0.0117716
              45	        0.873756	        0.903147	       0.0115289
              46	        0.979556	        0.904808	       0.0113973
              47	         0.94626	         0.90569	       0.0111889
              48	        0.749304	        0.902432	       0.0114203
              49	        0.935948	        0.903116	       0.0112077
              50	        0.963632	        0.904327	       0.0110487
              51	         0.94992	        0.905221	       0.0108682
              52	        0.850896	        0.904176	       0.0107092
              53	        0.973412	        0.905482	       0.0105866
              54	        0.458368	        0.897202	       0.0132382
              55	         0.96952	        0.898517	       0.0130626
              56	        0.951176	        0.899458	       0.0128632
              57	        0.961248	        0.900542	       0.0126831
              58	        0.930072	        0.901051	       0.0124746
              59	        0.885052	         0.90078	       0.0122662
              60	        0.939088	        0.901418	       0.0120783
